coverage report

Name                                  Stmts   Miss  Cover
---------------------------------------------------------
manage.py                                12      2    83%
quota_enrollment\__init__.py              0      0   100%
quota_enrollment\asgi.py                  4      4     0%
quota_enrollment\settings.py             21      0   100%
quota_enrollment\urls.py                  3      0   100%
quota_enrollment\wsgi.py                  4      4     0%
subjects\__init__.py                      0      0   100%
subjects\admin.py                         8      0   100%
subjects\apps.py                          4      0   100%
subjects\migrations\0001_initial.py       7      0   100%
subjects\migrations\__init__.py           0      0   100%
subjects\models.py                       16      0   100%
subjects\test_view.py                    16      0   100%
subjects\tests.py                         9      0   100%
subjects\urls.py                          4      0   100%
subjects\views.py                        15      7    53%
users\__init__.py                         0      0   100%
users\admin.py                            1      0   100%
users\apps.py                             4      0   100%
users\migrations\__init__.py              0      0   100%
users\models.py                           1      0   100%
users\tests.py                            1      0   100%
users\urls.py                             3      0   100%
users\views.py                           21     12    43%
---------------------------------------------------------
TOTAL                                   154     29    81%
